=== bake #0028 triton oven=gaudi python=3.9 ===
[00000s] step 1/10: Resolving build dependencies
[00010s]   ok: cache miss header-2625
[00043s]   ok: skipped kernel-8430
[00058s]   ok: cache hit layer-511
[00095s]   ok: compiled artifact-1946
[00125s]   info: skipped artifact-2621
[00160s]   warn: skipped header-3693
[00192s]   ok: retrying object-3318
[00202s]   warn: cache miss artifact-9804
[00206s]   ok: downloaded layer-5398
[00206s] step 2/10: Fetching source tarball
[00229s]   ok: skipped object-723
[00252s]   info: compiled kernel-5330
[00263s]   ok: skipped layer-2386
[00276s]   ok: downloaded header-7236
[00287s]   ok: cache miss header-2442
[00313s]   warn: skipped object-4971
[00318s]   info: cache hit object-9819
[00340s]   ok: cache hit header-6497
[00343s]   ok: downloaded layer-5495
[00377s]   ok: compiled artifact-4901
[00378s]   warn: retrying artifact-1191
[00410s]   ok: cache miss header-6645
[00435s]   info: downloaded header-5383
[00464s]   ok: cache miss artifact-6902
[00464s] step 3/10: Verifying checksum
[00489s]   ok: cache hit kernel-4883
[00496s]   ok: downloaded layer-6105
[00529s]   warn: downloaded layer-7933
[00567s]   ok: skipped layer-4211
[00585s]   info: retrying object-4490
[00607s]   info: downloaded artifact-7979
[00638s]   ok: downloaded artifact-7538
[00638s] step 4/10: Applying accelerator patches
[00667s]   ok: compiled layer-6602
[00685s]   info: downloaded kernel-6676
[00704s]   info: compiled kernel-1855
[00732s]   info: cache hit layer-865
[00769s]   ok: compiled header-5156
[00780s]   warn: cache hit kernel-2842
[00782s]   ok: downloaded layer-6183
[00821s]   ok: retrying layer-6896
[00825s]   info: retrying object-1161
[00830s]   ok: skipped kernel-9360
[00835s]   warn: downloaded header-3117
[00841s]   ok: cache hit artifact-3359
[00880s]   ok: downloaded artifact-5379
[00880s] step 5/10: Configuring CMake
[00891s]   ok: skipped object-4320
[00919s]   warn: compiled layer-8193
[00926s]   ok: downloaded artifact-1833
[00928s]   ok: compiled header-7902
[00931s]   info: cache hit artifact-9751
[00950s]   ok: cache miss header-4348
[00950s] step 6/10: Compiling kernels (this is the slow part)
[00965s]   warn: compiled layer-4999
[00982s]   warn: downloaded layer-2615
[00989s]   ok: compiled header-2671
[01016s]   ok: compiled object-7760
[01017s]   info: downloaded header-7078
[01028s]   info: skipped header-1218
[01043s]   ok: cache miss layer-4382
[01044s]   warn: retrying kernel-9812
[01049s]   ok: downloaded kernel-4409
[01057s]   ok: retrying kernel-9779
[01057s] step 7/10: Linking shared objects
[01065s]   ok: compiled layer-2845
[01105s]   warn: cache miss kernel-2742
[01110s]   warn: cache miss object-1756
[01137s]   ok: skipped header-6363
[01141s]   ok: downloaded layer-3334
[01172s]   warn: retrying layer-837
[01208s]   ok: cache miss layer-8570
[01214s]   ok: compiled object-6587
[01221s]   info: retrying layer-4282
[01251s]   ok: skipped layer-6725
[01272s]   ok: retrying kernel-7971
[01285s]   warn: compiled object-1028
[01317s]   ok: retrying artifact-5496
[01317s] step 8/10: Running smoke tests
[01355s]   info: retrying layer-9869
[01358s]   ok: skipped artifact-7907
[01385s]   warn: downloaded artifact-2761
[01412s]   warn: cache miss object-6664
[01449s]   info: skipped header-4317
[01463s]   warn: skipped layer-4783
[01466s]   ok: cache miss layer-6422
[01493s]   warn: retrying layer-5541
[01525s]   info: downloaded layer-3714
[01560s]   ok: cache miss kernel-8965
[01561s]   info: skipped header-6157
[01561s] step 9/10: Auditing wheel with auditwheel
[01565s]   ok: downloaded kernel-1847
[01580s]   ok: skipped header-8336
[01603s]   ok: cache miss object-1269
[01615s]   ok: skipped layer-4733
[01615s] step 10/10: Uploading to wheelhouse
[01634s]   ok: cache miss header-1247
[01657s]   ok: retrying kernel-5500
[01680s]   ok: downloaded header-2277
[01685s]   warn: cache hit object-6858
[01700s]   ok: skipped artifact-9119
[01724s]   ok: retrying artifact-1878
=== bake #0028 GOLDEN after 1724s ===
